Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1426577999E+00    0.1759211817E+00   -0.3326338180E-01
    0.1532933446E+00    0.2131547932E+00   -0.5986144857E-01
    0.2124254665E+00    0.2312112392E+00   -0.1878577266E-01
    0.2458956862E+00    0.2489085369E+00   -0.3012850659E-02
    0.3168200734E+00    0.2832665499E+00    0.3355352349E-01
    0.3606096115E+00    0.3163068291E+00    0.4430278244E-01
    0.3855424304E+00    0.3481017796E+00    0.3744065074E-01
    0.3978840001E+00    0.3787187064E+00    0.1916529378E-01
    0.3956483535E+00    0.3936051582E+00    0.2043195388E-02
    0.3933726165E+00    0.4082202538E+00   -0.1484763734E-01
    0.3988790197E+00    0.4366648019E+00   -0.3778578224E-01
    0.2907721873E+00    0.2904429879E+00    0.3291993705E-03
    0.2766077859E+00    0.3078874288E+00   -0.3127964298E-01
    0.2778108002E+00    0.3162695611E+00   -0.3845876091E-01
    0.2595940232E+00    0.3244269452E+00   -0.6483292203E-01
    0.2860637736E+00    0.3400701616E+00   -0.5400638800E-01
    0.3369956056E+00    0.3548165211E+00   -0.1782091543E-01
    0.3829514472E+00    0.3686549382E+00    0.1429650903E-01
    0.3834132326E+00    0.3815619136E+00    0.1851319004E-02
    0.3842960836E+00    0.3876547466E+00   -0.3358662996E-02
    0.3898202890E+00    0.3934989114E+00   -0.3678622455E-02
    0.4002315923E+00    0.4044087086E+00   -0.4177116299E-02
    0.1342891712E+00    0.1556763660E+00   -0.2138719487E-01
    0.2160994330E+00    0.1960304579E+00    0.2006897517E-01
    0.2259092688E+00    0.2152586477E+00    0.1065062108E-01
    0.2378831299E+00    0.2338992568E+00    0.3983873047E-02
    0.2813862858E+00    0.2695367306E+00    0.1184955523E-01
    0.3009395713E+00    0.3031587321E+00   -0.2219160876E-02
    0.3605672677E+00    0.3349506048E+00    0.2561666286E-01
    0.3718718209E+00    0.3650729191E+00    0.6798901803E-02
    0.3770097654E+00    0.3795525011E+00   -0.2542735724E-02
    0.3835882870E+00    0.3936658760E+00   -0.1007758898E-01
    0.3997269348E+00    0.4208527398E+00   -0.2112580501E-01
    0.4484240400E+00    0.4806555408E+00   -0.3223150078E-01
    0.4533916717E+00    0.4799567621E+00   -0.2656509039E-01
    0.4572457538E+00    0.4795663289E+00   -0.2232057503E-01
    0.4592785290E+00    0.4791447410E+00   -0.1986621206E-01
    0.4595310313E+00    0.4781945690E+00   -0.1866353762E-01
    0.4578862221E+00    0.4770746714E+00   -0.1918844926E-01
    0.4527502248E+00    0.4757445529E+00   -0.2299432808E-01
    0.4509489184E+00    0.4741515813E+00   -0.2320266289E-01
    0.4502571878E+00    0.4732356485E+00   -0.2297846069E-01
    0.4487305421E+00    0.4722263019E+00   -0.2349575982E-01
    0.4477070965E+00    0.4698754386E+00   -0.2216834214E-01
    0.1422823761E+00    0.1570927438E+00   -0.1481036768E-01
    0.1702090010E+00    0.1769981721E+00   -0.6789171164E-02
    0.1796044697E+00    0.1864681900E+00   -0.6863720317E-02
    0.2246052236E+00    0.1956485328E+00    0.2895669080E-01
    0.2431527848E+00    0.2132190391E+00    0.2993374570E-01
    0.2672206022E+00    0.2298454172E+00    0.3737518498E-01
    0.2793822363E+00    0.2456353579E+00    0.3374687834E-01
    0.2945343546E+00    0.2606761072E+00    0.3385824738E-01
    0.2956445844E+00    0.2679385177E+00    0.2770606675E-01
    0.3018347465E+00    0.2750396436E+00    0.2679510293E-01
    0.3104478013E+00    0.2887863005E+00    0.2166150088E-01
    0.1609983312E+00    0.1556447494E+00    0.5353581785E-02
    0.1464057447E+00    0.1549207225E+00   -0.8514977794E-02
    0.1354515406E+00    0.1547221701E+00   -0.1927062946E-01
    0.1321953933E+00    0.1546393067E+00   -0.2244391343E-01
    0.1444167407E+00    0.1548422516E+00   -0.1042551088E-01
    0.1364241452E+00    0.1555754133E+00   -0.1915126817E-01
    0.1333490388E+00    0.1568892149E+00   -0.2354017611E-01
    0.1509255145E+00    0.1588391626E+00   -0.7913648046E-02
    0.1360308813E+00    0.1600715684E+00   -0.2404068710E-01
    0.1320689701E+00    0.1614864264E+00   -0.2941745631E-01
    0.1415712356E+00    0.1648984894E+00   -0.2332725386E-01
    0.2966245313E+00    0.2811108060E+00    0.1551372531E-01
