Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2288574333E+03    0.2299393985E+03   -0.1081965156E+01
    0.2417612556E+03    0.2432562880E+03   -0.1495032449E+01
    0.2556504667E+03    0.2568324531E+03   -0.1181986391E+01
    0.2737433333E+03    0.2706622528E+03    0.3081080574E+01
    0.2828206778E+03    0.2776706231E+03    0.5150054684E+01
    0.2900036000E+03    0.2847404797E+03    0.5263120308E+01
    0.2989490444E+03    0.2990622995E+03   -0.1132550379E+00
Prediction RMSE and MaxAE:         2.9090217276        8.4603789674
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2595301222E+03    0.2589522304E+03    0.5778918095E+00
    0.2079026556E+03    0.2079705194E+03   -0.6786386407E-01
    0.2226869444E+03    0.2230968789E+03   -0.4099344959E+00
    0.2466663556E+03    0.2464387465E+03    0.2276090408E+00
    0.2405868667E+03    0.2412229857E+03   -0.6361189964E+00
    0.2053415111E+03    0.2073683449E+03   -0.2026833832E+01
    0.2209334444E+03    0.2225975731E+03   -0.1664128620E+01
    0.1936777556E+03    0.1959352530E+03   -0.2257497407E+01
    0.2036199000E+03    0.2056924196E+03   -0.2072519650E+01
    0.1988755111E+03    0.2005849174E+03   -0.1709406293E+01
    0.1820647889E+03    0.1832466811E+03   -0.1181892222E+01
    0.1862727778E+03    0.1883648547E+03   -0.2092076942E+01
    0.2604490667E+03    0.2607566249E+03   -0.3075582704E+00
    0.2896785556E+03    0.2879652497E+03    0.1713305828E+01
    0.1894734000E+03    0.1874239611E+03    0.2049438868E+01
    0.1935410889E+03    0.1913635894E+03    0.2177499504E+01
    0.2416573111E+03    0.2440507335E+03   -0.2393422415E+01
    0.2785376444E+03    0.2764729689E+03    0.2064675567E+01
    0.2668892556E+03    0.2663765698E+03    0.5126857996E+00
    0.2110321000E+03    0.2135337811E+03   -0.2501681081E+01
    0.1790172889E+03    0.1770219926E+03    0.1995296300E+01
    0.2256499111E+03    0.2285894817E+03   -0.2939570578E+01
    0.2147564222E+03    0.2148394748E+03   -0.8305259717E-01
    0.2279487222E+03    0.2303348496E+03   -0.2386127422E+01
    0.2568662444E+03    0.2572903320E+03   -0.4240875245E+00
    0.2505142889E+03    0.2521249275E+03   -0.1610638580E+01
    0.2144034778E+03    0.2170534651E+03   -0.2649987314E+01
    0.1817765778E+03    0.1802672169E+03    0.1509360912E+01
    0.2281654778E+03    0.2320127716E+03   -0.3847293854E+01
    0.2011406222E+03    0.2049194382E+03   -0.3778816021E+01
    0.1819319111E+03    0.1801408047E+03    0.1791106430E+01
    0.2107032667E+03    0.2147203505E+03   -0.4017083800E+01
    0.2151194444E+03    0.2179532636E+03   -0.2833819194E+01
    0.2290660778E+03    0.2332945793E+03   -0.4228501535E+01
    0.2044317667E+03    0.2060190851E+03   -0.1587318477E+01
    0.2137194444E+03    0.2161625112E+03   -0.2443066761E+01
    0.2164706222E+03    0.2206134885E+03   -0.4142866307E+01
    0.2003932667E+03    0.2029360706E+03   -0.2542803908E+01
    0.1893699333E+03    0.1898678945E+03   -0.4979612124E+00
    0.2062119333E+03    0.2076288204E+03   -0.1416887070E+01
    0.2000597778E+03    0.2033626482E+03   -0.3302870442E+01
    0.2051309444E+03    0.2081238816E+03   -0.2992937116E+01
    0.2630736333E+03    0.2645360226E+03   -0.1462389257E+01
    0.2928621333E+03    0.2916620954E+03    0.1200037952E+01
    0.1871043000E+03    0.1865884633E+03    0.5158367311E+00
    0.1764319667E+03    0.1738277330E+03    0.2604233697E+01
    0.1914784222E+03    0.1916608152E+03   -0.1823929781E+00
    0.2456214556E+03    0.2471032870E+03   -0.1481831435E+01
    0.1790136222E+03    0.1750970544E+03    0.3916567805E+01
    0.2811406222E+03    0.2791274385E+03    0.2013183756E+01
    0.1923749111E+03    0.1894782370E+03    0.2896674072E+01
    0.1980689000E+03    0.1937281536E+03    0.4340746358E+01
    0.2452193667E+03    0.2479102800E+03   -0.2690913353E+01
    0.2834870333E+03    0.2801586117E+03    0.3328421587E+01
    0.2641083000E+03    0.2605792298E+03    0.3529070155E+01
    0.2534758778E+03    0.2486245822E+03    0.4851295605E+01
    0.2469492333E+03    0.2434985840E+03    0.3450649381E+01
    0.2098778222E+03    0.2065807124E+03    0.3297109775E+01
