Predictions (y,pred,y-pred) by the model of dimension:     1
    0.9637614321E+02    0.9339813627E+02    0.2978006936E+01
    0.9738927426E+02    0.9753170535E+02   -0.1424310897E+00
    0.9929422704E+02    0.1018436765E+03   -0.2549449483E+01
    0.1053096570E+03    0.1109489961E+03   -0.5639339119E+01
    0.2584017448E+02    0.2954892857E+02   -0.3708754092E+01
    0.4286544992E+02    0.4082297891E+02    0.2042471013E+01
    0.4572791662E+02    0.4633696773E+02   -0.6090511100E+00
    0.4914067848E+02    0.5176490424E+02   -0.2624225763E+01
    0.6067555305E+02    0.6235846047E+02   -0.1682907419E+01
    0.6733571392E+02    0.7260391899E+02   -0.5268205069E+01
    0.8475483777E+02    0.8251096205E+02    0.2243875723E+01
    0.9094232811E+02    0.9209429358E+02   -0.1151965478E+01
    0.9342154533E+02    0.9676984506E+02   -0.3348299722E+01
    0.9610191643E+02    0.1013709287E+03   -0.5269012293E+01
    0.1039844407E+03    0.1103585368E+03   -0.6374096074E+01
    0.1371480612E+03    0.1466916835E+03   -0.9543622284E+01
    0.1366336255E+03    0.1438317560E+03   -0.7198130440E+01
    0.1367350903E+03    0.1424016803E+03   -0.5666589999E+01
